il_adi;plaka;belediye_ismi;belediye_tel;belediye_faks;belediye_mail;belediye_web;nufus;alankodu;bolge;bilgi
sinop;64;sinop;3682611844;3682614506;bilgi@sinop.bel.tr;www.sinop.bel.tr;38459;368;karadeniz;sinop (hititçe: sinuwa, yunanca: Î£Î¹Î½ÏÏ€Î·/sinope), türkiye cumhuriyeti'nin karadeniz bölgesi'nin orta kesiminde bulunan sinop ili'nin merkezi olan şehirdir. karadeniz kıyısında, boztepe burnu'nun karayla birleşme noktasında yer alır. sinop kalesi, tarihi ve turizm açısından kentin en ilginç yeridir. şehrin merkez nüfusu yaklaşık 49.400'dür.[1]
sirnak;73;şırnak;4862161005;4862165563;baskan@sirnak.bel.tr;www.sirnak.bel.tr;60255;486;güneydoğu anadolu;şırnak, eski adıyla nuh, güneydoğu anadolu bölgesi'nde şırnak ilinin ve merkez ilçesinin yönetim merkezi olan şehirdir.
sivas;58;sivas;3462210110;3462211642;bilgi@sivas.bel.tr;www.sivas.bel.tr;315107;346;iç anadolu;sivas
tekirdag;59;tekirdağ büyükşehir;8504595959;2822586221;ozelkalem@tekirdag.bel.tr;www.tekirdag.bel.tr;874475;282;marmara;
tokat;60;tokat;3562141164;3562120707;basin@tokat.bel.tr;www.tokat.bel.tr;133777;356;karadeniz;tokat şu anlamlara gelebilir:
trabzon;61;trabzon büyükşehir;4622233888;4622235500;belediye@trabzon.bel.tr;www.trabzon.bel.tr;758237;462;karadeniz;trabzon (eski yunanca: Î¤ÏÎ±Ï€ÎµÎ¶Î¿á¿¦Ï‚ trapezus, pontus rumcası: Î¤ÏÎ±Ï€ÎµÎ¶Î¿ÏÎ½Ï„Î± trapezunda, gürcüce: áƒ¢áƒ áƒáƒáƒ˜áƒ–áƒáƒœáƒ˜ t'rap'izoni, lazca : t'rapuzani ya da t'amtra[2]), türkiye'nin bir ili ve en kalabalık yirmi dokuzuncu şehri. 2015 itibarıyla 768.417 nüfusa sahiptir. karadeniz bölgesi'nin doğu karadeniz bölümü'nde yer alan ilin karadeniz'e kıyısı bulunur. karadeniz sahili ile zigana dağları arasında yer almakta olup yüz ölçümü açısından az bir alan kaplar. batısında giresun'a bağlı eynesil ilçesi, güneyinde gümüşhane'ye bağlı torul ilçesi ve bayburt, doğusunda da rize'ye bağlı ikizdere ve kalkandere ilçeleri bulunur.
tunceli;62;tunceli;4282121327;4282121017;info@tunceli.bel.tr;www.tunceli.bel.tr;31047;428;doğu anadolu;türkiye'de bulunduğu yer
usak;64;uşak;2762151282;2762154881;info@usak.bel.tr;www.usak.bel.tr;192144;276;ege;uşak, iç anadolu ve ege bölgesi arasında bir geçiş bölümünü teşkil eden iç batı anadolu eşiği üzerinde yer alan uşak ilinin merkez şehridir.
van;65;van büyükşehir;4322162008;4322162008;info@van.bel.tr;www.van.bel.tr;1070113;432;doğu anadolu;van, türkiye'nin bir ili ve en kalabalık on dokuzuncu şehri. 2015 itibarıyla 1.096.397[1] nüfusa sahiptir. doğu anadolu bölgesinde yer alır. van ili nüfus bakımından bu bölgenin en büyük ilidir. kuzeyden ağrı, batıdan bitlis, güneybatıdan siirt, güneyden hakkari illeriyle, doğudan da iran'la sınırlıdır. anadolu'nun en büyük kapalı havzası olan van gölü kıyısında toprakları verimli, akarsuları bol, iklim koşulları oldukça elverişli bir yerleşim merkezidir.
yalova;77;yalova;2268141185;2268115007;ozelkalemmd@yalova.bel.tr;www.yalova.bel.tr;104737;226;marmara;yalova, bugünkü idari bölünüşe göre merkez ilçeyle birlikte 6 ilçeden oluşmaktadır. ilçeler
yozgat;66;yozgat;3542121013;3542123923;yozgat@yozgat-bld.gov.tr;www.yozgat-bld.gov.tr;79240;354;iç anadolu;yozgat, yozgat ilinin merkezidir. yozgat iç anadolu'nun merkezinde bulunan başkent ankara'ya 217 kilometre doğuda bulunan bir il. yozgat'ın merkez ilçesinin 2014 yılı itibariyle nüfusu 79.611'dir.
zonguldak;67;zonguldak;3722596700;3722596806;riyaset@gmail.com;www.zonguldak.bel.tr;107783;372;karadeniz;
