id;il_kod;province;universities__name;universities__phone;universities__fax;universities__website;universities__email;universities__adress;universities__rector
103;34;İSTANBUL;İSTANBUL MEDİPOL ÜNİVERSİTESİ;444 85 44;0 (212) 531 75 55;www.medipol.edu.tr;bilgi@medipol.edu.tr;Kavacık Mah.Ekinciler Cad.No:19, 34840 Beykoz-İstanbul;SABAHATTİN AYDIN
104;34;İSTANBUL;İSTANBUL OKAN ÜNİVERSİTESİ;0 (216) 677 16 30;0 (216) 677 16 47;www.okan.edu.tr;okan@okan.edu.tr;Okan Üniversitesi Tuzla Kampüsü, 34959 Akfırat - Tuzla / İSTANBUL;AYŞE ŞULE KUT
105;34;İSTANBUL;İSTANBUL RUMELİ ÜNİVERSİTESİ;0 (212) 866 01 01;0 (212) 866 01 25;www.rumeli.edu.tr;bilgi@rumeli.edu.tr;Yeni Mahalle Mah. Mehmet Silivrili Cad. No: 38/8 Posta Kodu 34570 SİLİVRİ-İSTANBUL;SALİH AYNURAL
106;34;İSTANBUL;İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;0 (212) 692 96 00;0 (212) 693 82 29;http://www.izu.edu.tr;bilgi@izu.edu.tr;Halkalı Cad. No: 2 Halkalı - Küçükçekmece / İSTANBUL Posta Kodu: 34303;MEHMET BULUT
107;34;İSTANBUL;İSTANBUL ŞEHİR ÜNİVERSİTESİ;444 40 34;0 (216) 474 53 53;http://www.sehir.edu.tr;info@sehir.edu.tr - rektorluk@sehir.edu.tr;Orhantepe Mahallesi, Turgut Özal Bulvarı, No: 21, Dragos, 34865 Kartal/İstanbulL;PEYAMİ ÇELİKCAN
108;34;İSTANBUL;İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;444 78 68;0 (212) 250 95 03;http://www.sisli.edu.tr;info@sisli.edu.tr;Esentepe Mh. Büyükdere Cd. No:100 Şişli / İstanbul;-
109;34;İSTANBUL;İSTANBUL TEKNİK ÜNİVERSİTESİ;0 (212) 285 29 00;0 (212) 285 66 10;http:www.itu.edu.tr;ozelkalem@itu.edu.tr;İTÜ Ayazağa Yerleşkesi yeni Rektörlük Binası Kat:2 MASLAK-SARIYER- İSTANBUL;MEHMET KARACA
110;34;İSTANBUL;İSTANBUL TİCARET ÜNİVERSİTESİ;0 (212) 314 41 41;0 (212) 320 70 11;http://www.ticaret.edu.tr;rektorluk@ticaret.edu.tr;Sütlüce Mahallesi, İmrahor Caddesi No: 90 34445 Beyoğlu / İSTANBUL;NAZIM EKREN
111;34;İSTANBUL;İSTANBUL ÜNİVERSİTESİ;0 (212) 440 00 00;0 (212) 440 00 10;http://www.istanbul.edu.tr;ubilgi@istanbul.edu.tr;İSTANBUL ÜNİVERSİTESİ REKTÖRLÜK İSTANBUL UNIVERSITY RECTORATE İstanbul Üniversitesi, Beyazıt Yerleşkesi 34452 Beyazıt, İstanbul – Türkiye;MAHMUT AK
112;34;İSTANBUL;İSTANBUL ÜNİVERSİTESİ - CERRAHPAŞA;-;-;-;-;-;-
113;34;İSTANBUL;İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;0 (212) 449 35 95;0 (212) 481 40 58;www.yeniyuzyil.edu.tr;rektorluk@yeniyuzyil.edu.tr;T.C. İstanbul Yeni Yüzyıl Üniversitesi Topkapı Dr. Azmi  Ofluoğlu Yerleşkesi;İLHAN HACISALİHOĞLU
114;34;İSTANBUL;İSTANBUL 29 MAYIS ÜNİVERSİTESİ;0 (216) 474 08 60;0 (216) 474 08 75;http://www.29mayis.edu.tr;29mayis@29mayis.edu.tr;İcadiye Bağlarbaşı Cad. No:40 34662 Üsküdar/İSTANBUL;İBRAHİM DÖNMEZ
115;34;İSTANBUL;İSTİNYE ÜNİVERSİTESİ;0 (850) 283 60 00;0 (212) 481 36 88;www.istinye.edu.tr;info@istinye.edu.tr;İstinye Üniversitesi Topkapı Kampüsü, Maltepe Mah., Edirne Çırpıcı Yolu, No.9 Zeytinburnu, İstanbul, 34010;MELİH BULU
116;34;İSTANBUL;İZMİR KAVRAM MESLEK YÜKSEKOKULU;444 91 34;0 (212) 216 09 14;www.kavram.edu.tr;kamil.uslu@kavram.edu.tr;Bahçelievler Mah. Bosna Bulvarı No:140 34680 Çengelköy-Üsküdar/İSTANBUL;-
117;34;İSTANBUL;KADİR HAS ÜNİVERSİTESİ;0 (212) 533 65 32;0 (212) 631 91 50;http://www.khas.edu.tr;khas-rektorluk@khas.edu.tr;Kadir Has Üniversitesi, Kadir Has Caddesi, Cibali / İSTANBUL 34083;MUSTAFA AYDIN
118;34;İSTANBUL;KOÇ ÜNİVERSİTESİ;0 (212) 338 10 00;0 (212) 338 12 48;http://www.ku.edu.tr;rektor@ku.edu.tr;Koç Üniversitesi, Rumelifeneri Yolu, 34450, SARIYER, ISTANBUL;UMRAN SAVAŞ İNAN
119;34;İSTANBUL;MALTEPE ÜNİVERSİTESİ;0 (216) 626 10 72;0 (216) 626 10 70;http://www.maltepe.edu.tr/;maltepe@maltepe.edu.tr;Maltepe Üniversitesi Marmara Eğitim Köyü PK:34857 MALTEPE İSTANBUL;ŞAHİN KARASAR
120;34;İSTANBUL;MARMARA ÜNİVERSİTESİ;0 (212) 518 16 00;0 (212) 518 16 15;http://www.marmara.edu.tr/;-;Göztepe Kampüsü 34722 / Kadıköy - İstanbul;MEHMET EMİN ARAT
121;34;İSTANBUL;MEF ÜNİVERSİTESİ;0 (212) 395 36 00;0 (212) 395 36 92;http://www.mef.edu.tr;mef@mef.edu.tr;Ayazağa Cad. No.4 34396 Maslak - Sarıyer - İstanbul;MUHAMMED ŞAHİN
122;34;İSTANBUL;MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;0 (212) 293 37 60;0 (212) 243 08 88;http://www.msgsu.edu.tr;rector@msgsu.edu.tr;Meclis-i Mebusan Caddesi No: 24 Fındıklı 34427 İstanbul;YALÇIN KARAYAĞIZ
123;34;İSTANBUL;NİŞANTAŞI ÜNİVERSİTESİ;0 (212) 210 10 10;0 (212) 565 25 25;http://www.nisantasi.edu.tr;genel.sekreterlik@nisantasi. edu.;Maslak Mahallesi Söğütözü Sk. No:20/Y Nişantaşı Üniversitesi Maslak 1453 Neotech Kampüsü Sarıyer/İstanbul;ESRA HATİPOĞLU
124;34;İSTANBUL;ÖZYEĞİN ÜNİVERSİTESİ;0 (216) 564 93 00;0 (216) 564 99 99;www.ozyegin.edu.tr;rektor@ozyegin.edu.tr;Nişantepe Mah. Orman Sok. No:34-36 Çekmeköy-İstanbul;FERİDE GENÇTÜRK
125;34;İSTANBUL;PİRİ REİS ÜNİVERSİTESİ;0 (216) 581 00 50;0 (216) 581 00 51;http://www.pirireis.edu.tr;bilgi@pirireis.edu.tr;Postane Mahallesi, Eflatun Sk. No:8, 34940 Tuzla/İSTANBUL;ORAL ERDOĞAN
126;34;İSTANBUL;SABANCI ÜNİVERSİTESİ;0 (216) 483 90 00;0 (216) 483 90 05;http://www.sabanciuniv.edu;suhelp@sabanciuniv.edu;Sabancı Üniversite Orta Mah. Üniversite Caddesi No:27 34956 Orhanlı Tuzla İstanbu;ZEHRA SAYERS
127;34;İSTANBUL;SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;0 (216) 346 36 36;0 (216) 346 36 40;http://www.sbu.edu.tr;bilgi@sbu.edu.tr;Mekteb-i Tıbbiye-i Şahane (Haydarpaşa) Külliyesi, Selimiye Mah. Tıbbiye Cad. No:38 34668 ÜSKÜDAR/İSTANBUL;CEVDET ERDÖL
128;34;İSTANBUL;SEMERKAND BİLİM VE MEDENİYET ÜNİVERSİTESİ;-;-;-;-;-;-
129;34;İSTANBUL;TÜRK-ALMAN ÜNİVERSİTESİ;0 (216) 333 30 00;0 (216) 333 30 31;http://www.tau.edu.tr/;info@tau.edu.tr;Şahinkaya Cad. No: 86 Beykoz/İSTANBUL;-
130;34;İSTANBUL;TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;-;-;-;-;-
131;34;İSTANBUL;TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;-;-;-;-;-
132;34;İSTANBUL;ÜSKÜDAR ÜNİVERSİTESİ;0 (216) 400 22 22;0 (216) 474 12 56;http://www.uskudar.edu.tr;info@uskudar.edu.tr;Altunizade Mah.Haluk Türksoy Sok. No:14 Üsküdar/İstanbul;KAŞİF NEVZAT TARHAN
133;34;İSTANBUL;YEDİTEPE ÜNİVERSİTESİ;0 (216) 578 02 03;0 (216) 578 00 00;http://www.yeditepe.edu.tr/;caykutbingol@yeditepe.edu.tr;26 Ağustos Yerleşimi.Kayışdağı Cad.34755 Ataşehir/İstanbul;CANAN AYKUT BİNGÖL
134;34;İSTANBUL;YILDIZ TEKNİK ÜNİVERSİTESİ;0 (212) 227 71 19;0 (212) 227 69 90;http://www.yildiz.edu.tr;ozelkalem@yildiz.edu.tr;Davutpaşa Mah. Davutpaşa Cad. 34220 Esenler - İstanbul;BAHRİ ŞAHİN
135;35;İZMİR;DOKUZ EYLÜL ÜNİVERSİTESİ;0 (232) 412 12 12;0 (232) 464 81 35;http://www.deu.edu.tr;gen.sek@deu.edu.tr;Cumhuriyet Bulvarı No:144 Alsancak 35210 Konak/İZMİR;ERDAL ÇELİK
136;35;İZMİR;EGE ÜNİVERSİTESİ;0 (232) 311 10 10;0 (232) 343 42 15;http://www.ege.edu.tr;webadmin@ege.edu.tr;Ege Üniversitesi Rektörlüğü Gençlik Caddesi No:12 PK.35040 Bornova / İzmir;NECDET BUDAK
137;35;İZMİR;İZMİR BAKIRÇAY ÜNİVERSİTESİ;0 (232) 493 00 00;0 (232) 493 00 00;bakircay.edu.tr;info@bakircay.edu.tr;Seyrek Kampüsü/ Gazi Mustafa Kemal Mah.Kaynaklar Cad./ Seyrek/Menemen/İZMİR;MUSTAFA BERKTAŞ
138;35;İZMİR;İZMİR DEMOKRASİ ÜNİVERSİTESİ;0 (232) 260 10 01;0 (232) 260 10 04;https://www.idu.edu.tr;iletisim@idu.edu.tr;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR;BEDRİYE TUNÇSİPER
139;35;İZMİR;İZMİR EKONOMİ ÜNİVERSİTESİ;0 (232) 279 25 25;0 (232) 279 26 26;http://www.ieu.edu.tr;ik@ieu.edu.tr;Sakarya Cad. No:156 35330 Balçova İZMİR;FATMA NACİYE CAN MUĞAN
140;35;İZMİR;İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;0 (232) 329 35 35;0 (232) 386 08 88;http://www.ikc.edu.tr/;rektorluk@ikc.edu.tr;İzmir Kâtip Çelebi Üniversitesi Çiğli Ana Yerleşkesi 35620 İZMİR;SAFFET KÖSE
141;35;İZMİR;İZMİR TINAZTEPE ÜNİVERSİTESİ;-;-;-;-;-;-
142;35;İZMİR;İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;0 (232) 750 60 01;0 (232) 750 60 15;http://www.iyte.edu.tr/;rektorluk@iyte.edu.tr;İzmir Yüksek Teknoloji Enstitüsü Gülbahçe Kampüsü Urla/İZMİR;MUSTAFA GÜDEN
143;35;İZMİR;YAŞAR ÜNİVERSİTESİ;0 (232) 570 70 70;0 (232) 570 70 00;http://www.yasar.edu.tr;burcu.sagir@yasar.edu.tr;Üniversite Cad., No.:35-37, Ağaçlı Yol, Bornova-İZMİR;MEHMET CEMALİ DİNÇER
144;36;KARS;KAFKAS ÜNİVERSİTESİ;0 (474) 225 11 58;0 (474) 225 11 60;http://www.kafkas.edu.tr;rektor@kafkas.edu.tr;Kafkas Üniversitesi Şehitler Mh. Turan Çelik Cd. Kombina Yolu Üzeri Merkez/KARS;SAMİ ÖZCAN
145;37;KASTAMONU;KASTAMONU ÜNİVERSİTESİ;0 (366) 280 10 36;0 (366) 280 10 38;http://www.kastamonu.edu.tr/i ndex.php/tr/;rektor@kastamonu.edu.tr;Cumhuriyet Meydanı Rektörlük Binası KASTAMONU;SEYİT AYDIN
146;38;KAYSERİ;ABDULLAH GÜL ÜNİVERSİTESİ;0 (352) 224 88 00;0 (352) 338 88 28;http://www.agu.edu.tr/rektorlu k-ofisi;ozelkalem@agu.edu.tr;Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ;İHSAN SABUNCUOĞLU
147;38;KAYSERİ;ERCİYES ÜNİVERSİTESİ;0 (352) 207 66 66;0 (352) 437 49 31;http://www.erciyes.edu.tr;basinyayin@erciyes.edu.tr;Talas Yolu Melikgazi 38039 KAYSERİ;MUHAMMET GÜVEN
148;38;KAYSERİ;KAYSERİ ÜNİVERSİTESİ;-;-;-;-;-;-
149;38;KAYSERİ;NUH NACİ YAZGAN ÜNİVERSİTESİ;0 (352) 324 00 00;0 (352) 324 00 04;http://www.nny.edu.tr;info@nny.edu.tr;Erkilet Dere Mah. Kuzey Çevreyolu Nuh Naci Yazgan Üniversitesi Kocasinan/Kayseri;KERİM GÜNEY
150;39;KIRKLARELİ;KIRKLARELİ ÜNİVERSİTESİ;0 (288) 212 96 88-89;0 (288) 212 96 82;http://www.klu.edu.tr/;ozelkalem@klu.edu.tr;Cumhuriyet Mahallesi Kofcaz Yolu Kayalı Yerleşkesi Merkez-Kırklareli;BÜLENT ŞENGÖRÜR
151;40;KIRŞEHİR;KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ;0 (386) 280 40 45;0 (386) 280 40 52;ahievran.edu.tr;ozelkalem@ahievran.edu.tr;Bağbaşı Mah. Sahir kurutluoğlu cad. NO: 100 Merkez /KIRŞEHİR;VATAN KARAKAYA
152;41;KOCAELİ;GEBZE TEKNİK ÜNİVERSİTESİ;0 (262) 605 15 09;0 (262) 653 84 90;www.gtu.edu.tr;bilgi@gtu.edu.tr;Gebze Teknik Üniversitesi Rektörlüğü Cumhuriyet Mah. 2254 Sok. No:2 Gebze/KOCAELİ;MUHAMMED HASAN ASLAN
153;41;KOCAELİ;KOCAELİ ÜNİVERSİTESİ;0 (262) 303 10 01;0 (262) 303 10 33;http://www.kocaeli.edu.tr/;rekiletisim@kocaeli.edu.tr;Umuttepe Merkez Yerleşkesi 41380 İzmit/KOCAELİ;SADETTİN HÜLAGÜ
154;42;KONYA;KONYA GIDA VE TARIM ÜNİVERSİTESİ;0 (332) 223 54 88;0 (332) 223 54 90;http://www.gidatarim.edu.tr/;info@gidatarim.edu.tr;Dede Korkut Mah. Beyşehir Cad. No:9 42080 Meram / KONYA;CUMHUR ÇÖKMÜŞ
155;42;KONYA;KONYA TEKNİK ÜNİVERSİTESİ;-;-;-;-;-;-
156;42;KONYA;KTO KARATAY ÜNİVERSİTESİ;444 12 51;0 (332) 202 00 44;http://www.karatay.edu.tr;bilgi@karatay.edu.tr;KTO Karatay Üniversitesi Rektörlüğü Akabe Mah. Alaaddin Kap Cad. No: 130 Karatay/KONYA;BAYRAM SADE
157;42;KONYA;NECMETTİN ERBAKAN ÜNİVERSİTESİ;0 (332) 221 06 99;0 (332) 236 21 41;http://www.konya.edu.tr;bilgi@konya.edu.tr;Nişantaş Mahallesi Dr.M.Hulusi Baybal Caddesi Bera İş Merkezi No:12 Selçuklu/KONYA;MUZAFFET ŞEKER
158;42;KONYA;SELÇUK ÜNİVERSİTESİ;0 (332) 223 84 00;0 (332) 223 82 65;http://www.selcuk.edu.tr/;ozelkalem@selcuk.edu.tr;Alaaddin Keykubat Kampüsü, Akademi Mahallesi, Yeni İstanbul Caddesi No:369/1 42130;MUSTAFA ŞAHİN
159;43;KÜTAHYA;KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ;0 (274) 265 20 31;0 (274) 265 20 04;http://dumlupinar.edu.tr;ozelkalem@dpu.edu.tr;Dumlupınar Üniversitesi Evliya Çelebi Yerleşkesi Tavşanlı Yolu 10. km. KÜTAHYA;REMZİ GÖREN
160;43;KÜTAHYA;KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;-;-;-;-;-;-
161;44;MALATYA;İNÖNÜ ÜNİVERSİTESİ;0 (422) 377 30 00;0 (422) 341 00 34;http://www.inonu.edu.tr/;universite@inonu.edu.tr;İnönü Üniversitesi Kampüsü Elazığ Yolu 15. Km. 44280 MALATYA;AHMET KIZILAY
162;44;MALATYA;MALATYA TURGUT ÖZAL ÜNİVERSİTESİ;-;-;-;-;-;-
163;45;MANİSA;MANİSA CELÂL BAYAR ÜNİVERSİTESİ;0 (236) 201 10 14;0 (236) 237 24 42;www.cbu.edu.tr;ozelkalem@cbu.edu.tr;Şehit Prof. Dr. İlhan Varank Kampüsü 45140 - Yunusemre - MANİSA;AHMET KEMAL ÇELEBİ
164;46;KAHRAMANMARAŞ;KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;-;-;-;-;-;-
165;46;KAHRAMANMARAŞ;KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;0 (344) 300 10 00;0 (344) 300 10 37;www.ksu.edu.tr;genelsekreterlik@ksu.edu.tr;Kahramanmaraş Sütçü İmam Üniversitesi Rektörlüğü,  Avşar Mah. Batı Çevreyolu Blv.  No: 251/A 46040 - Onikişubat/Kahramanmaraş;NİYAZİ CAN
166;47;MARDİN;MARDİN ARTUKLU ÜNİVERSİTESİ;0 (482) 213 40 02;0 (482) 213 40 04;http://www.artuklu.edu.tr/;pdb@artuklu.edu.tr;Mardin Artuklu Üniversitesi Yenişehir Yerleşkesi, Diyarbakır Yolu Yenişehir Mardin;AHMET AĞIRAKÇA
167;48;MUĞLA;MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ;0 (252) 211 10 00;0 (252) 211 15 00;http://www.mu.edu.tr/;okalem@mu.edu.tr;Muğla Sıtkı Koçman Üniversitesi Rektörlüğü 48000 Menteşe/MUĞLA;-
168;49;MUŞ;MUŞ ALPARSLAN ÜNİVERSİTESİ;0 (436) 249 49 49;0 (436) 249 10 22;www.alparslan.edu.tr;bilgi@alparslan.edu.tr;Muş Alparslan Üniversitesi Kampusu, Rektörlük, Diyarbakır Yolu 7. km 49250- MUŞ;FETHİ POLAT
169;50;NEVŞEHİR;KAPADOKYA ÜNİVERSİTESİ;0 (384) 353 50 09;0 (384) 353 51 25;www.kapadokya.edu.tr;info@kapadokya.edu.tr;Üniversite Meydanı No:2 Mustafapaşa Ürgüp/Nevşehir;HASAN ALİ KARASAR
170;50;NEVŞEHİR;NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ;0 (384) 228 10 73;0 (384) 215 30 58;http://www.nevsehir.edu.tr/;ozelkalem@nevsehir.edu.tr;Nevşehir Hacı Bektaş Veli Üniversitesi Rektörlüğü 2000 Evler Mahallesi Zübeyde Hanım Cad. 50300;MAZHAR BAĞLI
171;51;NİĞDE;NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ;0 (388) 225 26 02-05-06;0 (388) 225 26 00;http://www.ohu.edu.tr/;ozelkalem@ohu.edu.tr;Niğde Ömer Halisdemir Üniversitesi Rektörlüğü Rektörlük Binası 2. Kat Merkez Yerleşke Bor Yolu Üzeri 51240 Merkez/NİĞDE;MUHSİN KAR
172;52;ORDU;ORDU ÜNİVERSİTESİ;0 (452) 226 52 00;0 (452) 234 44 00;http://www.odu.edu.tr;rektorozelkalem@odu.edu.tr;Cumhuriyet Yerleşkesi 52200 Merkez/ORDU;TARIK YARILGAÇ
173;53;RİZE;RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ;0 (464) 223 81 00;0 (464) 223 63 28;erdogan.edu.tr;genel.sekreter@erdogan.edu.tr;Recep Tayyip Erdoğan Üniversitesi Zihni Derin Yerleşkesi, Fener Mah. 53100 RİZE;HÜSEYİN KARAMAN
174;53;RİZE;SAMSUN ÜNİVERSİTESİ;-;-;-;-;-;-
175;54;SAKARYA;SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;-;-;-;-;-;-
176;54;SAKARYA;SAKARYA ÜNİVERSİTESİ;0 (264) 295 54 54;0 (264) 295 50 32;http://www.sakarya.edu.tr;ilko@sakarya.edu.tr;Sakarya Üniversitesi Esentepe Kampüsü 54187 Serdivan / SAKARYA;-
177;55;SAMSUN;ONDOKUZ MAYIS ÜNİVERSİTESİ;0 (362) 457 58 70;0 (362) 457 60 91;http://www.omu.edu.tr/;iletisim@omu.edu.tr;Ondokuz Mayıs Üniversitesi Rektörlük Binası Kurupelit Kampüsü, 55139 Atakum / SAMSUN;SAİT BİLGİÇ
178;56;SİİRT;SİİRT ÜNİVERSİTESİ;0 (484) 212 11 11;0 (484) 223 19 98;https://siirt.edu.tr;siu@siirt.edu.tr;Kezer Kampüsü SİİRT;MURAT ERMAN
179;57;SİNOP;SİNOP ÜNİVERSİTESİ;0 (368) 271 57 57;0 (368) 271 57 63;http://www.sinop.edu.tr;sinop@sinop.edu.tr;Korucuk Köyü Trafo Mahallesi No:36  57000 ? SİNOP;NİHAT DALGIN
180;58;SİVAS;SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;-;-;-;-;-
181;58;SİVAS;SİVAS CUMHURİYET ÜNİVERSİTESİ;0 (346) 219 11 58;0 (346) 219 12 70;http://www.cumhuriyet.edu.tr;ryaziisl@cumhuriyet.edu.tr;Cumhuriyet Üniversitesi, Yenişehşr Mah. Kayseri Caddesi 58140 Kampüs SİVAS;ALİM YILDIZ
182;59;TEKİRDAĞ;TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ;0 (282) 250 10 02;0 (282) 250 99 00;http://www.nku.edu.tr;ozelkalem@nku.edu.tr;Namık Kemal Mah. Kampüs Cad. No:1 Merkez-TEKİRDAĞ;OSMAN ŞİMŞEK
183;60;TOKAT;TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ;0 (356) 252 16 16;0 (356) 252 16 26;www.gop.edu.tr;gensek@gop.edu.tr;Gaziosmanpaşa Üniversitesi Rektörlüğü Taşlıçiftlik Yerleşkesi TOKAT;MUSTAFA ŞAHİN
184;61;TRABZON;AVRASYA ÜNİVERSİTESİ;462 334 64 44-45-47;462 334 64 54;http://www.avrasya.edu.tr;info@avrasya.edu.tr;Avrasya Üniversitesi Rektörlüğü Adnan Kahvesi Mah. Rize Caddesi;KENAN İNAN
185;61;TRABZON;KARADENİZ TEKNİK ÜNİVERSİTESİ;0 (462) 377 21 01;0 (462) 325 32 05;http://www.ktu.edu.tr;information@ktu.edu.tr;Karadeniz Teknik Üniversitesi 61080 - Trabzon;SÜLEYMAN BAYKAL
186;61;TRABZON;TRABZON ÜNİVERSİTESİ;-;-;-;-;-;-
187;62;TUNCELİ;MUNZUR ÜNİVERSİTESİ;0 (428) 213 17 94;0 (428) 213 27 52;www.munzur.edu.tr;universite@munzur.edu.tr;Aktuluk Mahallesi Üniversite Yerleşkesi Merkez/TUNCELİ;UBEYDE İPEK
188;63;ŞANLIURFA;HARRAN ÜNİVERSİTESİ;0 (414) 318 30 00;0 (414) 318 31 90;http://www.harran.edu.tr/;ozelkalem@harran.edu.tr;Hamidiye Mah. Necmettin Cevheri Caddesi, Yenişehir Şanlıurfa/Türkiye;RAMAZAN TAŞALTIN
189;64;UŞAK;UŞAK ÜNİVERSİTESİ;0 (276) 221 21 21;0 (276) 221 22 02;http://www.usak.edu.tr;ozelkalem@usak.edu.tr;Uşak Üniversitesi Rektörlüğü 1 Eylül Kampüsü  64200 - UŞAK;EKREM SAVAŞ
190;65;VAN;VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ;444 50 65;0 (432) 486 54 13;http://www.yyu.edu.tr/;bilgi@yyu.edu.tr;Van Yüzüncü Yıl Üniversitesi Rektörlüğü, 65080, Kampüs / VAN;PEYAMİ BATTAL
191;66;YOZGAT;YOZGAT BOZOK ÜNİVERSİTESİ;0 (354) 212 37 28;0 (354) 212 28 37;http://www.bozok.edu.tr/;ozel.kalem@bozok.edu.tr;Medrese Mahallesi Adnan Menderes Bulvarı No:118 66200 Yozgat;SALİH KARACABEY
192;67;ZONGULDAK;ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ;0 (372) 291 12 03;0 (372) 257 40 14;http://www.beun.edu.tr;rektor@beun.edu.tr;Bülent Ecevit Üniversitesi Rektörlüğü İncivez-ZONGULDAK;MUSTAFA ÇUFALI
193;68;AKSARAY;AKSARAY ÜNİVERSİTESİ;0 (382) 288 20 02-03;0 (382) 288 20 10;www.aksaray.edu.tr;ozelkalem@aksaray.edu.tr;Adana yolu 7.Km. E-90 karayolu üzeri Merkez 68100/AKSARAY;YUSUF ŞAHİN
194;69;BAYBURT;BAYBURT ÜNİVERSİTESİ;0 (458) 211 11 53;0 (458) 211 11 25;http://www.bayburt.edu.tr;rektor@bayburt.edu.tr;Dede Korkut Kampüsü 69000 / BAYBURT;SELÇUK COŞKUN
195;70;KARAMAN;KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;0 (338) 226 20 00;0 (382) 26 20 23;http://www.kmu.edu.tr;iletisim@kmu.edu.tr;Karamanoğlu Mehmetbey Üniversitesi, Yunus Emre Yerleşkesi, 70100 KARAMAN/ TÜRKİYE;MEHMET AKGÜL
196;71;KIRIKKALE;KIRIKKALE ÜNİVERSİTESİ;0 (318) 357 36 44;0 (318) 357 36 94;http://www.kku.edu.tr/Anasayfa/Sayfa/Index?;ozelkalem@kku.edu.tr;Kırıkkale Üniversitesi Ankara Yolu 7. Km 71450 Yahşihan/Kırıkkale;-
197;72;BATMAN;BATMAN ÜNİVERSİTESİ;0 (488) 217 38 00;0 (488) 217 36 01;http://www.batman.edu.tr;batman@batman.edu.tr;Batı Raman 72100 Batman, Türkiye;AYDIN DURMUŞ
198;73;ŞIRNAK;ŞIRNAK ÜNİVERSİTESİ;0 (486) 216 82 41;0 (486) 216 32 85;http://www.sirnak.edu.tr;posta@sirnak.edu.tr;Yeni Mahalle Cizre Caddesi Mehmet Emin Acar Kampüsü 73000 Şırnak - Türkiye;MEHMET EMİN ERKAN
199;74;BARTIN;BARTIN ÜNİVERSİTESİ;0 (378) 223 55 00;0 (378) 223 50 42;http://www.bartin.edu.tr/;rektorluk@bartin.edu.tr;Bartın Üniversitesi Rektörlüğü Merkez/BARTIN;ORHAN UZUN
200;75;ARDAHAN;ARDAHAN ÜNİVERSİTESİ;0 (478) 211 75 75;0 (478) 211 75 09;https://www.ardahan.edu.tr;rektorluk@ardahan.edu.tr;Ardahan Üniversitesi Yenisey Kampüsü, Rektörlük Hizmet Binası, Çamlıçatak Mevkii, 75000, Merkez/Ardahan;MEHMET BİBER
201;76;IĞDIR;IĞDIR ÜNİVERSİTESİ;0 (476) 223 00 10-11-12-13;0 (476) 223 00 17-21;http://www.igdir.edu.tr;info@igdir.edu.tr;Suveren Kampüsü Suveren Köyü IĞDIR;MEHMET HAKKI ALMA
202;77;YALOVA;YALOVA ÜNİVERSİTESİ;0 (226) 815 50 01;0 (226) 815 50 04;http://www.yalova.edu.tr/rektorluk;bilgi@yalova.edu.tr;Çınarcık Yolu 3.km Merkez Kampüsü Yalova;SUAT CEBECİ
203;78;KARABÜK;KARABÜK ÜNİVERSİTESİ;0 (370) 433 82 00;0 (370) 433 20 05;http://www.karabuk.edu.tr/;iletisim@karabuk.edu.tr;Karabük Üniversitesi Demir Çelik Kampüsü Balıklar Kaya Mevkii;REFİK POLAT
204;79;KİLİS;KİLİS 7 ARALIK ÜNİVERSİTESİ;0 (348) 814 26 66 / 1001- 1002;0 (348) 814 26 60;www.kilis.edu.tr;ozelkalem@kilis.edu.tr;Mehmet Sanlı Mah. Doğan Güreş Paşa Bulvarı No.134 Merlez/KİLİS;MUSTAFA DOĞAN KARACOŞKUN
